@relation R_data_frame

@attribute V1_tcp numeric
@attribute V1_udp numeric
@attribute V1_icmp numeric
@attribute V2_http numeric
@attribute V2_smtp numeric
@attribute V2_finger numeric
@attribute V2_domain_u numeric
@attribute V2_auth numeric
@attribute V2_telnet numeric
@attribute V2_ftp numeric
@attribute V2_eco_i numeric
@attribute V2_ntp_u numeric
@attribute V2_ecr_i numeric
@attribute V2_other numeric
@attribute V2_private numeric
@attribute V2_pop_3 numeric
@attribute V2_ftp_data numeric
@attribute V2_rje numeric
@attribute V2_time numeric
@attribute V2_mtp numeric
@attribute V2_link numeric
@attribute V2_remote_job numeric
@attribute V2_gopher numeric
@attribute V2_ssh numeric
@attribute V2_name numeric
@attribute V2_whois numeric
@attribute V2_domain numeric
@attribute V2_login numeric
@attribute V2_abnormal4 numeric
@attribute V2_daytime numeric
@attribute V2_ctf numeric
@attribute V2_nntp numeric
@attribute V2_shell numeric
@attribute V2_IRC numeric
@attribute V2_nnsp numeric
@attribute V2_http_443 numeric
@attribute V2_exec numeric
@attribute V2_printer numeric
@attribute V2_efs numeric
@attribute V2_courier numeric
@attribute V2_uucp numeric
@attribute V2_klogin numeric
@attribute V2_kshell numeric
@attribute V2_echo numeric
@attribute V2_discard numeric
@attribute V2_systat numeric
@attribute V2_supdup numeric
@attribute V2_iso_tsap numeric
@attribute V2_hostnames numeric
@attribute V2_csnet_ns numeric
@attribute V2_pop_2 numeric
@attribute V2_sunrpc numeric
@attribute V2_uucp_path numeric
@attribute V2_netbios_ns numeric
@attribute V2_netbios_ssn numeric
@attribute V2_netbios_dgm numeric
@attribute V2_sql_net numeric
@attribute V2_vmnet numeric
@attribute V2_bgp numeric
@attribute V2_Z39_50 numeric
@attribute V2_ldap numeric
@attribute V2_netstat numeric
@attribute V2_urh_i numeric
@attribute V2_X11 numeric
@attribute V2_urp_i numeric
@attribute V2_pm_dump numeric
@attribute V2_tftp_u numeric
@attribute V2_tim_i numeric
@attribute V2_red_i numeric
@attribute V3_SF numeric
@attribute V3_S1 numeric
@attribute V3_REJ numeric
@attribute V3_S2 numeric
@attribute V3_S0 numeric
@attribute V3_S3 numeric
@attribute V3_RSTO numeric
@attribute V3_RSTR numeric
@attribute V3_RSTOS0 numeric
@attribute V3_OTH numeric
@attribute V3_SH numeric

@data
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
